Model: ResNet18, Epoch: 3, Train Acc: 45.79%, Test Acc: 42.31%, Train Loss: 0.7515, Test Loss: 0.7699, AUC: 0.5752
Model: ResNet18, Epoch: 4, Train Acc: 46.15%, Test Acc: 43.59%, Train Loss: 0.7466, Test Loss: 0.7489, AUC: 0.5792
Model: ResNet18, Epoch: 5, Train Acc: 46.15%, Test Acc: 42.95%, Train Loss: 0.7614, Test Loss: 0.7452, AUC: 0.5760
Model: ResNet18, Epoch: 6, Train Acc: 45.24%, Test Acc: 43.59%, Train Loss: 0.7567, Test Loss: 0.7331, AUC: 0.5827
Model: ResNet18, Epoch: 7, Train Acc: 46.89%, Test Acc: 44.87%, Train Loss: 0.7587, Test Loss: 0.7485, AUC: 0.5752
Model: ResNet18, Epoch: 8, Train Acc: 46.89%, Test Acc: 41.67%, Train Loss: 0.7560, Test Loss: 0.7626, AUC: 0.5881
Model: ResNet18, Epoch: 9, Train Acc: 46.15%, Test Acc: 46.79%, Train Loss: 0.7591, Test Loss: 0.7463, AUC: 0.5952
Model: ResNet18, Epoch: 10, Train Acc: 46.52%, Test Acc: 46.15%, Train Loss: 0.7636, Test Loss: 0.7329, AUC: 0.5919
Model: ResNet18, Epoch: 11, Train Acc: 45.42%, Test Acc: 42.31%, Train Loss: 0.7635, Test Loss: 0.7474, AUC: 0.5865
Model: ResNet18, Epoch: 12, Train Acc: 45.60%, Test Acc: 46.79%, Train Loss: 0.7515, Test Loss: 0.7348, AUC: 0.6082
Model: ResNet18, Epoch: 13, Train Acc: 48.17%, Test Acc: 42.95%, Train Loss: 0.7499, Test Loss: 0.7562, AUC: 0.5779
Model: ResNet18, Epoch: 14, Train Acc: 45.05%, Test Acc: 44.23%, Train Loss: 0.7548, Test Loss: 0.7558, AUC: 0.5731
Model: ResNet18, Epoch: 15, Train Acc: 45.42%, Test Acc: 47.44%, Train Loss: 0.7617, Test Loss: 0.7352, AUC: 0.5735
Model: ResNet18, Epoch: 16, Train Acc: 44.51%, Test Acc: 43.59%, Train Loss: 0.7537, Test Loss: 0.7485, AUC: 0.5825
Model: ResNet18, Epoch: 17, Train Acc: 45.97%, Test Acc: 40.38%, Train Loss: 0.7490, Test Loss: 0.7648, AUC: 0.5729
Model: ResNet18, Epoch: 18, Train Acc: 45.60%, Test Acc: 41.67%, Train Loss: 0.7525, Test Loss: 0.7494, AUC: 0.5844
Model: ResNet18, Epoch: 19, Train Acc: 44.69%, Test Acc: 42.31%, Train Loss: 0.7598, Test Loss: 0.7450, AUC: 0.5775
Model: ResNet18, Epoch: 20, Train Acc: 44.51%, Test Acc: 40.38%, Train Loss: 0.7542, Test Loss: 0.7621, AUC: 0.5992
Model: DenseNet, Epoch: 1, Train Acc: 71.98%, Test Acc: 71.79%, Train Loss: 0.5921, Test Loss: 0.5976, AUC: 0.5957
Model: DenseNet, Epoch: 2, Train Acc: 72.16%, Test Acc: 72.44%, Train Loss: 0.5930, Test Loss: 0.5931, AUC: 0.5280
Model: DenseNet, Epoch: 3, Train Acc: 72.34%, Test Acc: 71.79%, Train Loss: 0.5930, Test Loss: 0.6057, AUC: 0.5046
Model: DenseNet, Epoch: 4, Train Acc: 71.06%, Test Acc: 71.15%, Train Loss: 0.6040, Test Loss: 0.6009, AUC: 0.5090
Model: DenseNet, Epoch: 5, Train Acc: 71.79%, Test Acc: 71.15%, Train Loss: 0.5928, Test Loss: 0.6091, AUC: 0.5008
Model: DenseNet, Epoch: 6, Train Acc: 71.43%, Test Acc: 71.15%, Train Loss: 0.5999, Test Loss: 0.6125, AUC: 0.4728
Model: DenseNet, Epoch: 7, Train Acc: 72.16%, Test Acc: 71.79%, Train Loss: 0.6041, Test Loss: 0.6105, AUC: 0.4858
Model: DenseNet, Epoch: 8, Train Acc: 71.98%, Test Acc: 71.15%, Train Loss: 0.5952, Test Loss: 0.6074, AUC: 0.4919
Model: DenseNet, Epoch: 9, Train Acc: 71.79%, Test Acc: 71.15%, Train Loss: 0.5955, Test Loss: 0.6054, AUC: 0.4921
Model: DenseNet, Epoch: 10, Train Acc: 72.34%, Test Acc: 71.79%, Train Loss: 0.5973, Test Loss: 0.6065, AUC: 0.4887
Model: DenseNet, Epoch: 11, Train Acc: 73.44%, Test Acc: 71.15%, Train Loss: 0.6067, Test Loss: 0.6055, AUC: 0.4996
Model: DenseNet, Epoch: 12, Train Acc: 71.43%, Test Acc: 71.79%, Train Loss: 0.5974, Test Loss: 0.6060, AUC: 0.4964
Model: DenseNet, Epoch: 13, Train Acc: 71.98%, Test Acc: 71.79%, Train Loss: 0.6026, Test Loss: 0.6039, AUC: 0.4950
Model: DenseNet, Epoch: 14, Train Acc: 71.98%, Test Acc: 71.79%, Train Loss: 0.5886, Test Loss: 0.6012, AUC: 0.5058
Model: DenseNet, Epoch: 15, Train Acc: 72.53%, Test Acc: 71.79%, Train Loss: 0.5836, Test Loss: 0.6080, AUC: 0.4783
Model: DenseNet, Epoch: 16, Train Acc: 72.34%, Test Acc: 71.79%, Train Loss: 0.5919, Test Loss: 0.6098, AUC: 0.4827
Model: DenseNet, Epoch: 17, Train Acc: 71.61%, Test Acc: 71.15%, Train Loss: 0.6035, Test Loss: 0.6098, AUC: 0.4856
Model: DenseNet, Epoch: 18, Train Acc: 72.16%, Test Acc: 70.51%, Train Loss: 0.5923, Test Loss: 0.6048, AUC: 0.5081
Model: DenseNet, Epoch: 19, Train Acc: 72.53%, Test Acc: 71.15%, Train Loss: 0.5967, Test Loss: 0.6033, AUC: 0.5090
